Name,Gender,City,Passed
Pawan,Male,Kolkata,Yes
Kapil,Male,Delhi,No
Lalit,Male,Mumbai,Yes
Ishan,Male,Kolkata,Yes
Riya,Female,Delhi,Yes
Neha,Female,Mumbai,No
Aman,Male,Pune,Yes
Priya,Female,Kolkata,Yes
Rahul,Male,Chennai,No
Sneha,Female,Pune,Yes
Vikash,Male,Delhi,Yes
Ananya,Female,Mumbai,No
Rohit,Male,Kolkata,Yes
Kajal,Female,Chennai,Yes
Arjun,Male,Pune,No
Sourav,Male,Kolkata,Yes
Moumita,Female,Delhi,Yes
Karan,Male,Mumbai,No
Tina,Female,Pune,Yes
Aditya,Male,Chennai,Yes
Nikhil,Male,Kolkata,No
Puja,Female,Delhi,Yes
Rakesh,Male,Mumbai,Yes
Simran,Female,Pune,No
Varun,Male,Chennai,Yes
Diya,Female,Kolkata,Yes
Manish,Male,Delhi,No
Shreya,Female,Mumbai,Yes
Abhishek,Male,Chennai,Yes
Nandini,Female,Pune,No
